[2026-02-03 19:28:31.446] [info]  DiscordSplash.signalReady
[2026-02-03 19:28:31.458] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-02-03 19:28:31.459] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-02-03 19:28:31.483] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-02-03 19:28:31.484] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-02-03 19:28:31.486] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-02-03 19:28:31.486] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-02-03 19:28:31.487] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-02-03 19:28:31.487] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-02-03 19:28:31.488] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-02-03 19:28:31.488] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-02-03 19:28:31.489] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-02-03 19:28:31.489] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-02-03 19:28:31.489] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-02-03 19:28:31.489] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-02-03 19:28:31.799] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-02-03 19:28:31.799] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-02-03 19:28:32.446] [info]  Splash.updateCountdownSeconds: undefined
[2026-02-03 19:28:33.445] [info]  Splash.updateCountdownSeconds: undefined
[2026-02-03 19:28:33.480] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-02-03 19:28:33.481] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-02-03 19:28:33.514] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-02-03 19:28:33.515] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-02-03 19:28:33.532] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-02-03 19:28:33.532] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-02-03 19:28:33.549] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-02-03 19:28:33.550] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-02-03 19:28:33.550] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2026-02-03 19:28:33.551] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2026-02-03 19:28:33.554] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2026-02-03 19:28:33.554] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2026-02-03 19:28:33.564] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-02-03 19:28:33.564] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-02-03 19:28:33.566] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2026-02-03 19:28:33.566] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2026-02-03 19:28:33.570] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2026-02-03 19:28:33.571] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2026-02-03 19:28:33.572] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2026-02-03 19:28:33.573] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2026-02-03 19:28:33.575] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2026-02-03 19:28:33.575] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2026-02-03 19:28:33.576] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2026-02-03 19:28:33.577] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
